Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,Alphabet_Scalar,Percentile,Include 0,Retain_rate,Seed,Author
googlenet,ILSVRC2012,1024,0.69778,0.68518,0.8953,0.88746,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.68372,0.8953,0.88486,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.67276,0.8953,0.88234,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.65848,0.8953,0.87066,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,2048,0.69778,0.6853,0.8953,0.88686,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.59992,0.8953,0.83296,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,32,0.69778,0.38118,0.8953,0.65534,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.65906,0.8953,0.87052,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.63882,0.8953,0.85838,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.58508,0.8953,0.8228,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.41692,0.8953,0.68708,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,32,0.69778,0.1115,0.8953,0.2773,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,1024,0.69778,0.66494,0.8953,0.8762,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,1024,0.69778,0.5857,0.8953,0.82562,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.55128,0.8953,0.80072,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.46686,0.8953,0.73542,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.2839,0.8953,0.5485,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.0803,0.8953,0.22246,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,32,0.69778,0.01216,0.8953,0.05024,3,1.41,1.0,True,0.25,0,Yixuan
