Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,Alphabet_Scalar,Percentile,Include 0,Retain_rate,Seed,Author
alexnet,ILSVRC2012,32,0.56522,0.081,0.79066,0.22312,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,64,0.56522,0.28532,0.79066,0.53766,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,128,0.56522,0.42292,0.79066,0.68394,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.4783,0.79066,0.73028,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,512,0.56522,0.50204,0.79066,0.75004,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.51864,0.79066,0.76262,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,2048,0.56522,0.53226,0.79066,0.7695,3,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,32,0.56522,0.2719,0.79066,0.52078,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,64,0.56522,0.44946,0.79066,0.70686,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,128,0.56522,0.50748,0.79066,0.75094,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,256,0.56522,0.528,0.79066,0.766,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,512,0.56522,0.53854,0.79066,0.77522,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,1024,0.56522,0.54564,0.79066,0.7793,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,2048,0.56522,0.55152,0.79066,0.78188,4,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,32,0.56522,0.37166,0.79066,0.63536,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,64,0.56522,0.49222,0.79066,0.73924,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,128,0.56522,0.53276,0.79066,0.76896,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,256,0.56522,0.54472,0.79066,0.7779,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,512,0.56522,0.55238,0.79066,0.78184,5,1.1,1.0,True,0.25,0,Yixuan
alexnet,ILSVRC2012,1024,0.56522,0.55544,0.79066,0.78586,5,1.1,1.0,True,0.25,0,Jinjie
alexnet,ILSVRC2012,2048,0.56522,0.55668,0.79066,0.78736,5,1.1,1.0,True,0.25,0,Jinjie
vgg16,ILSVRC2012,32,0.71592,0.46448,0.90382,0.74252,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,0.71592,0.62554,0.90382,0.85456,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,0.71592,0.67738,0.90382,0.88114,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,0.71592,0.68414,0.90382,0.88816,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,512,0.71592,0.69666,0.90382,0.89326,3,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.61272,0.90382,0.84558,4,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,0.71592,0.68038,0.90382,0.8848,4,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,0.71592,0.69874,0.90382,0.89496,4,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,0.71592,0.70602,0.90382,0.89872,4,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,512,0.71592,0.707,0.90382,0.89964,4,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,32,0.71592,0.65552,0.90382,0.86708,5,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,64,0.71592,0.69442,0.90382,0.89234,5,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,128,0.71592,0.70324,0.90382,0.89778,5,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,256,0.71592,0.7075,0.90382,0.8993,5,0.975,1.0,True,0.25,0,Yixuan
vgg16,ILSVRC2012,512,0.71592,0.70964,0.90382,0.9006,5,0.975,1.0,True,0.25,0,Yixuan
resnet18,ILSVRC2012,32,0.69758,0.03378,0.89078,0.11442,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,64,0.69758,0.20964,0.89078,0.45546,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,128,0.69758,0.46626,0.89078,0.73714,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,256,0.69758,0.58942,0.89078,0.8274,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,512,0.69758,0.6294,0.89078,0.85352,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,1024,0.69758,0.65076,0.89078,0.86474,3,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,32,0.69758,0.19518,0.89078,0.43646,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,64,0.69758,0.53028,0.89078,0.78484,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,128,0.69758,0.62578,0.89078,0.84934,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,256,0.69758,0.65882,0.89078,0.869,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,512,0.69758,0.67128,0.89078,0.87624,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,1024,0.69758,0.67702,0.89078,0.88088,4,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,32,0.69758,0.3218,0.89078,0.59888,5,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,64,0.69758,0.60788,0.89078,0.83908,5,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,128,0.69758,0.66032,0.89078,0.87156,5,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,256,0.69758,0.6773,0.89078,0.87962,5,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,512,0.69758,0.68476,0.89078,0.88336,5,1.16,1.0,True,0.25,0,Jinjie
resnet18,ILSVRC2012,1024,0.69758,0.68612,0.89078,0.88528,5,1.16,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,32,0.7613,0.02196,0.92862,0.08862,3,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,64,0.7613,0.12894,0.92862,0.34456,3,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,128,0.7613,0.43512,0.92862,0.72862,3,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,256,0.7613,0.62384,0.92862,0.85666,3,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,512,0.7613,0.68512,0.92862,0.89182,3,1.81,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,32,0.7613,0.13092,0.92862,0.36634,4,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,64,0.7613,0.51604,0.92862,0.7912,4,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,128,0.7613,0.68842,0.92862,0.89304,4,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,256,0.7613,0.72532,0.92862,0.91118,4,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,512,0.7613,0.73742,0.92862,0.91836,4,1.81,1.0,True,0.25,0,Yixuan
resnet50,ILSVRC2012,32,0.7613,0.44818,0.92862,0.74312,5,1.81,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,64,0.7613,0.68284,0.92862,0.88746,5,1.81,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,128,0.7613,0.73138,0.92862,0.91474,5,1.81,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,256,0.7613,0.74566,0.92862,0.92284,5,1.81,1.0,True,0.25,0,Jinjie
resnet50,ILSVRC2012,512,0.7613,0.75158,0.92862,0.92474,5,1.81,1.0,True,0.25,0,Jinjie
googlenet,ILSVRC2012,32,0.69778,0.01216,0.8953,0.05024,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.0803,0.8953,0.22246,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.2839,0.8953,0.5485,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.46686,0.8953,0.73542,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.55128,0.8953,0.80072,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,1024,0.69778,0.5857,0.8953,0.82562,3,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,32,0.69778,0.1115,0.8953,0.2773,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.41692,0.8953,0.68708,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.58508,0.8953,0.8228,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.63882,0.8953,0.85838,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.65906,0.8953,0.87052,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,1024,0.69778,0.66494,0.8953,0.8762,4,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,32,0.69778,0.38118,0.8953,0.65534,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,64,0.69778,0.59992,0.8953,0.83296,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,128,0.69778,0.65848,0.8953,0.87066,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,256,0.69778,0.67276,0.8953,0.88234,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,512,0.69778,0.68372,0.8953,0.88486,5,1.41,1.0,True,0.25,0,Yixuan
googlenet,ILSVRC2012,1024,0.69778,0.68518,0.8953,0.88746,5,1.41,1.0,True,0.25,0,Yixuan
